rank,crowding_distance,ticker,setup_signals,horizon,support_is,support_oos,mu_is,p_long_is,mu_oos,acc_oos,tstat_oos,obj_acc,obj_tstat,obj_support_is,obj_diversity
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
1,inf,GOOGL US Equity,SIG_01057|SIG_02944,10,48,10,0.01692188475218712,0.6666666666666666,0.04362210000210768,1.0,12.983455319453673,1.0,12.983455319453673,48.0,0.1
